# the deviation between $E_\mathrm{geo}$ and $E\'_\mathrm{geo}$ for an observation altitude of \SI{1564}{m asl}
# knots	coefficients
2.716363636363636033e+03 1.004778767799136663e+00
2.752020202020201850e+03 1.004651858261320418e+00
2.787676767676767668e+03 1.004523425663326863e+00
2.823333333333333030e+03 1.004393549276218378e+00
2.858989898989898848e+03 1.004262309895524563e+00
2.894646464646464665e+03 1.004129817075124942e+00
2.930303030303030027e+03 1.003996192451237501e+00
2.965959595959595845e+03 1.003861582047531842e+00
3.001616161616161207e+03 1.003726104024845522e+00
3.037272727272727025e+03 1.003589970347932958e+00
3.072929292929292842e+03 1.003453273962419123e+00
3.108585858585858205e+03 1.003316357132886250e+00
3.144242424242424022e+03 1.003179183468453362e+00
3.179898989898989839e+03 1.003042163194100445e+00
3.215555555555555202e+03 1.002905371350055308e+00
3.251212121212121019e+03 1.002769123499444470e+00
3.286868686868686837e+03 1.002633575435864843e+00
3.322525252525252199e+03 1.002498981722254490e+00
3.358181818181818016e+03 1.002365614138691186e+00
3.393838383838383834e+03 1.002233631181748352e+00
3.429494949494949196e+03 1.002103378851829873e+00
3.465151515151515014e+03 1.001975043850133362e+00
3.500808080808080376e+03 1.001848917812380613e+00
3.536464646464646194e+03 1.001725254830052814e+00
3.572121212121212011e+03 1.001604312264918084e+00
3.607777777777777374e+03 1.001486321676234414e+00
3.643434343434343191e+03 1.001371726923325767e+00
3.679090909090909008e+03 1.001260425806395293e+00
3.714747474747474371e+03 1.001153031916816039e+00
3.750404040404040188e+03 1.001049617839010031e+00
3.786060606060606005e+03 1.000950537125123052e+00
3.821717171717171368e+03 1.000855867965360080e+00
3.857373737373737185e+03 1.000765995520624285e+00
3.893030303030303003e+03 1.000681004475890701e+00
3.928686868686868365e+03 1.000574518215624265e+00
4.000000000000000000e+03 1.000502535784930869e+00
4.000000000000000000e+03 1.000458199063283704e+00
